Fecha;EUA;CER;SPREAD (EUA - CER)
02-01-2026;86.18;0.00;"86,18"
05-01-2026;85.17;0.00;"85,17"
06-01-2026;85.88;0.00;"85,88"
07-01-2026;85.75;0.00;"85,75"
08-01-2026;86.17;0.00;"86,17"
09-01-2026;87.46;0.00;"87,46"
12-01-2026;88.06;0.00;"88,06"
13-01-2026;88.58;0.00;"88,58"
14-01-2026;90.05;0.00;"90,05"
15-01-2026;89.80;0.00;"89,8"
16-01-2026;89.87;0.00;"89,87"
19-01-2026;86.16;0.00;"86,16"
20-01-2026;83.01;0.00;"83,01"
21-01-2026;85.10;0.00;"85,1"
22-01-2026;86.34;0.00;"86,34"
23-01-2026;86.21;0.00;"86,21"
26-01-2026;85.55;0.00;"85,55"
27-01-2026;86.33;0.00;"86,33"
28-01-2026;83.92;0.00;"83,92"
29-01-2026;81.58;0.00;"81,58"
30-01-2026;80.41;0.00;"80,41"
02-02-2026;82.96;0.00;"82,96"
03-02-2026;81.17;0.00;"81,17"
04-02-2026;81.22;0.00;"81,22"
05-02-2026;77.15;0.00;"77,15"
06-02-2026;77.68;0.00;"77,68"
09-02-2026;79.84;0.00;"79,84"
10-02-2026;77.21;0.00;"77,21"
11-02-2026;77.45;0.00;"77,45"
12-02-2026;71.09;0.00;"71,09"
13-02-2026;70.08;0.00;"70,08"
16-02-2026;67.75;0.00;"67,75"
17-02-2026;68.74;0.00;"68,74"
18-02-2026;70.69;0.00;"70,69"
19-02-2026;70.32;0.00;"70,32"
20-02-2026;72.15;0.00;"72,15"
23-02-2026;70.68;0.00;"70,68"
24-02-2026;69.74;0.00;"69,74"
25-02-2026;71.26;0.00;"71,26"
26-02-2026;69.74;0.00;"69,74"
27-02-2026;68.93;0.00;"68,93"
02-03-2026;69.22;0.00;"69,22"
03-03-2026;72.40;0.00;"72,4"
04-03-2026;69.61;0.00;"69,61"
05-03-2026;69.49;0.00;"69,49"
06-03-2026;68.76;0.00;"68,76"
09-03-2026;69.35;0.00;"69,35"
10-03-2026;71.79;0.00;"71,79"
11-03-2026;70.41;0.00;"70,41"
12-03-2026;67.46;0.00;"67,46"
13-03-2026;67.69;0.00;"67,69"
16-03-2026;67.37;0.00;"67,37"
17-03-2026;65.41;0.00;"65,41"
18-03-2026;64.82;0.00;"64,82"
19-03-2026;62.44;0.00;"62,44"
20-03-2026;66.15;0.00;"66,15"
23-03-2026;68.03;0.00;"68,03"
24-03-2026;69.98;0.00;"69,98"
25-03-2026;69.82;0.00;"69,82"
26-03-2026;69.90;0.00;"69,9"
27-03-2026;70.15;0.00;"70,15"
30-03-2026;70.97;0.00;"70,97"
31-03-2026;70.88;0.00;"70,88"
01-04-2026;73.15;0.00;"73,15"
02-04-2026;69.91;0.00;"69,91"
03-04-2026;70.24;0.00;"70,24"
07-04-2026;70.30;0.00;"70,3"
08-04-2026;70.33;0.00;"70,33"
09-04-2026;72.35;0.00;"72,35"
10-04-2026;71.51;0.00;"71,51"
13-04-2026;71.21;0.00;"71,21"
14-04-2026;73.41;0.00;"73,41"
15-04-2026;72.94;0.00;"72,94"
16-04-2026;74.13;0.00;"74,13"
17-04-2026;76.15;0.00;"76,15"
20-04-2026;74.63;0.00;"74,63"
21-04-2026;74.10;0.00;"74,1"
22-04-2026;72.88;0.00;"72,88"
23-04-2026;73.50;0.00;"73,5"
24-04-2026;73.71;0.00;"73,71"
27-04-2026;73.87;0.00;"73,87"
28-04-2026;73.75;0.00;"73,75"
29-04-2026;71.96;0.00;"71,96"
30-04-2026;72.20;0.00;"72,2"
01-05-2026;72.65;0.00;"72,65"
04-05-2026;71.65;0.00;"71,65"
05-05-2026;74.54;0.00;"74,54"
06-05-2026;75.01;0.00;"75,01"
07-05-2026;73.84;0.00;"73,84"
08-05-2026;73.99;0.00;"73,99"
11-05-2026;75.95;0.00;"75,95"
12-05-2026;74.36;0.00;"74,36"
13-05-2026;73.82;0.00;"73,82"
14-05-2026;73.67;0.00;"73,67"
15-05-2026;74.55;0.00;"74,55"
18-05-2026;74.41;0.00;"74,41"
19-05-2026;73.90;0.00;"73,9"
20-05-2026;74.56;0.00;"74,56"
21-05-2026;73.62;0.00;"73,62"
22-05-2026;75.60;0.00;"75,6"
25-05-2026;75.59;0.00;"75,59"
26-05-2026;77.04;0.00;"77,04"
27-05-2026;77.39;0.00;"77,39"
28-05-2026;78.90;0.00;"78,9"
29-05-2026;78.84;0.00;"78,84"
01-06-2026;77.98;0.00;"77,98"
02-06-2026;78.04;0.00;"78,04"
03-06-2026;77.75;0.00;"77,75"
04-06-2026;75.97;0.00;"75,97"
05-06-2026;75.68;0.00;"75,68"
08-06-2026;75.85;0.00;"75,85"
09-06-2026;75.04;0.00;"75,04"
10-06-2026;76.03;0.00;"76,03"
11-06-2026;76.08;0.00;"76,08"
12-06-2026;76.07;0.00;"76,07"
15-06-2026;78.92;0.00;"78,92"
16-06-2026;78.74;0.00;"78,74"
17-06-2026;78.71;0.00;"78,71"
18-06-2026;78.45;0.00;"78,45"
19-06-2026;79.52;0.00;"79,52"
22-06-2026;80.47;0.00;"80,47"
23-06-2026;79.63;0.00;"79,63"
24-06-2026;79.70;0.00;"79,7"
25-06-2026;79.49;0.00;"79,49"
26-06-2026;79.08;0.00;"79,08"
29-06-2026;78.19;0.00;"78,19"
30-06-2026;78.99;0.00;"78,99"
