Fecha;EUA;CER;SPREAD (EUA - CER)
02-01-2025;72.84;0.00;"72,84"
03-01-2025;73.81;0.00;"73,81"
06-01-2025;72.30;0.00;"72,3"
07-01-2025;72.15;0.00;"72,15"
08-01-2025;70.27;0.00;"70,27"
09-01-2025;71.45;0.00;"71,45"
10-01-2025;72.81;0.00;"72,81"
13-01-2025;74.71;0.00;"74,71"
14-01-2025;74.83;0.00;"74,83"
15-01-2025;75.83;0.00;"75,83"
16-01-2025;76.06;0.00;"76,06"
17-01-2025;77.54;0.00;"77,54"
20-01-2025;77.86;0.00;"77,86"
21-01-2025;77.70;0.00;"77,7"
22-01-2025;77.08;0.00;"77,08"
23-01-2025;78.59;0.00;"78,59"
24-01-2025;79.51;0.00;"79,51"
27-01-2025;77.22;0.00;"77,22"
28-01-2025;78.28;0.00;"78,28"
29-01-2025;81.42;0.00;"81,42"
30-01-2025;80.46;0.00;"80,46"
31-01-2025;81.59;0.00;"81,59"
03-02-2025;79.20;0.00;"79,2"
04-02-2025;78.86;0.00;"78,86"
05-02-2025;79.14;0.00;"79,14"
06-02-2025;79.94;0.00;"79,94"
07-02-2025;80.29;0.00;"80,29"
10-02-2025;80.96;0.00;"80,96"
11-02-2025;79.99;0.00;"79,99"
12-02-2025;78.92;0.00;"78,92"
13-02-2025;76.15;0.00;"76,15"
14-02-2025;77.95;0.00;"77,95"
17-02-2025;75.32;0.00;"75,32"
18-02-2025;73.92;0.00;"73,92"
19-02-2025;72.23;0.00;"72,23"
20-02-2025;70.88;0.00;"70,88"
21-02-2025;72.15;0.00;"72,15"
24-02-2025;72.16;0.00;"72,16"
25-02-2025;70.08;0.00;"70,08"
26-02-2025;69.78;0.00;"69,78"
27-02-2025;71.45;0.00;"71,45"
28-02-2025;69.97;0.00;"69,97"
03-03-2025;70.01;0.00;"70,01"
04-03-2025;67.45;0.00;"67,45"
05-03-2025;66.79;0.00;"66,79"
06-03-2025;65.62;0.00;"65,62"
07-03-2025;66.79;0.00;"66,79"
10-03-2025;67.48;0.00;"67,48"
11-03-2025;66.75;0.00;"66,75"
12-03-2025;67.70;0.00;"67,7"
13-03-2025;68.86;0.00;"68,86"
14-03-2025;69.37;0.00;"69,37"
17-03-2025;68.61;0.00;"68,61"
18-03-2025;69.70;0.00;"69,7"
19-03-2025;72.36;0.00;"72,36"
20-03-2025;71.47;0.00;"71,47"
21-03-2025;69.74;0.00;"69,74"
24-03-2025;70.05;0.00;"70,05"
25-03-2025;68.88;0.00;"68,88"
26-03-2025;69.24;0.00;"69,24"
27-03-2025;66.87;0.00;"66,87"
28-03-2025;67.45;0.00;"67,45"
31-03-2025;66.78;0.00;"66,78"
01-04-2025;68.65;0.00;"68,65"
02-04-2025;67.25;0.00;"67,25"
03-04-2025;65.22;0.00;"65,22"
04-04-2025;62.84;0.00;"62,84"
07-04-2025;61.35;0.00;"61,35"
08-04-2025;61.57;0.00;"61,57"
09-04-2025;59.92;0.00;"59,92"
10-04-2025;61.05;0.00;"61,05"
11-04-2025;63.95;0.00;"63,95"
14-04-2025;65.36;0.00;"65,36"
15-04-2025;65.02;0.00;"65,02"
16-04-2025;65.65;0.00;"65,65"
17-04-2025;64.52;0.00;"64,52"
22-04-2025;63.52;0.00;"63,52"
23-04-2025;65.61;0.00;"65,61"
24-04-2025;65.27;0.00;"65,27"
25-04-2025;65.24;0.00;"65,24"
28-04-2025;64.58;0.00;"64,58"
29-04-2025;63.82;0.00;"63,82"
30-04-2025;65.54;0.00;"65,54"
01-05-2025;65.90;0.00;"65,9"
02-05-2025;67.88;0.00;"67,88"
05-05-2025;66.62;0.00;"66,62"
06-05-2025;68.55;0.00;"68,55"
07-05-2025;70.01;0.00;"70,01"
08-05-2025;69.97;0.00;"69,97"
09-05-2025;69.35;0.00;"69,35"
12-05-2025;72.10;0.00;"72,1"
13-05-2025;71.89;0.00;"71,89"
14-05-2025;70.98;0.00;"70,98"
15-05-2025;72.34;0.00;"72,34"
16-05-2025;70.36;0.00;"70,36"
19-05-2025;69.40;0.00;"69,4"
20-05-2025;72.34;0.00;"72,34"
22-05-2025;71.91;0.00;"71,91"
22-05-2025;71.15;0.00;"71,15"
23-05-2025;70.57;0.00;"70,57"
26-05-2025;72.02;0.00;"72,02"
27-05-2025;70.18;0.00;"70,18"
28-05-2025;71.09;0.00;"71,09"
29-05-2025;69.80;0.00;"69,8"
30-05-2025;69.39;0.00;"69,39"
02-06-2025;70.31;0.00;"70,31"
03-06-2025;71.98;0.00;"71,98"
04-06-2025;71.51;0.00;"71,51"
05-06-2025;71.79;0.00;"71,79"
06-06-2025;72.85;0.00;"72,85"
09-06-2025;73.20;0.00;"73,2"
10-06-2025;71.97;0.00;"71,97"
11-06-2025;73.43;0.00;"73,43"
12-06-2025;74.68;0.00;"74,68"
13-06-2025;74.75;0.00;"74,75"
16-06-2025;74.15;0.00;"74,15"
17-06-2025;73.92;0.00;"73,92"
18-06-2025;73.69;0.00;"73,69"
19-06-2025;71.94;0.00;"71,94"
20-06-2025;72.19;0.00;"72,19"
23-06-2025;72.36;0.00;"72,36"
24-06-2025;72.35;0.00;"72,35"
25-06-2025;70.41;0.00;"70,41"
26-06-2025;69.57;0.00;"69,57"
27-06-2025;70.14;0.00;"70,14"
30-06-2025;68.30;0.00;"68,3"
01-07-2025;69.98;0.00;"69,98"
02-07-2025;70.78;0.00;"70,78"
03-07-2025;71.26;0.00;"71,26"
04-07-2025;70.68;0.00;"70,68"
07-07-2025;70.27;0.00;"70,27"
08-07-2025;69.98;0.00;"69,98"
09-07-2025;69.75;0.00;"69,75"
10-07-2025;69.98;0.00;"69,98"
11-07-2025;69.89;0.00;"69,89"
14-07-2025;69.87;0.00;"69,87"
15-07-2025;70.03;0.00;"70,03"
16-07-2025;70.29;0.00;"70,29"
17-07-2025;69.99;0.00;"69,99"
18-07-2025;69.92;0.00;"69,92"
21-07-2025;69.61;0.00;"69,61"
22-07-2025;68.79;0.00;"68,79"
23-07-2025;69.06;0.00;"69,06"
24-07-2025;70.19;0.00;"70,19"
25-07-2025;70.42;0.00;"70,42"
28-07-2025;69.96;0.00;"69,96"
29-07-2025;72.39;0.00;"72,39"
30-07-2025;72.17;0.00;"72,17"
31-07-2025;71.82;0.00;"71,82"
01-08-2025;70.39;0.00;"70,39"
04-08-2025;70.08;0.00;"70,08"
05-08-2025;70.68;0.00;"70,68"
06-08-2025;70.12;0.00;"70,12"
07-08-2025;70.84;0.00;"70,84"
08-08-2025;71.87;0.00;"71,87"
11-08-2025;71.62;0.00;"71,62"
12-08-2025;70.80;0.00;"70,8"
13-08-2025;71.13;0.00;"71,13"
14-08-2025;70.36;0.00;"70,36"
15-08-2025;70.10;0.00;"70,1"
18-08-2025;71.11;0.00;"71,11"
19-08-2025;70.63;0.00;"70,63"
20-08-2025;70.73;0.00;"70,73"
21-08-2025;72.09;0.00;"72,09"
22-08-2025;71.97;0.00;"71,97"
25-08-2025;71.48;0.00;"71,48"
26-08-2025;72.18;0.00;"72,18"
27-08-2025;71.71;0.00;"71,71"
28-08-2025;71.30;0.00;"71,3"
29-08-2025;72.38;0.00;"72,38"
01-09-2025;73.74;0.00;"73,74"
02-09-2025;73.08;0.00;"73,08"
03-09-2025;74.42;0.00;"74,42"
04-09-2025;74.91;0.00;"74,91"
05-09-2025;75.53;0.00;"75,53"
08-09-2025;76.52;0.00;"76,52"
09-09-2025;76.32;0.00;"76,32"
10-09-2025;76.80;0.00;"76,8"
11-09-2025;75.06;0.00;"75,06"
12-09-2025;75.21;0.00;"75,21"
15-09-2025;76.45;0.00;"76,45"
16-09-2025;77.17;0.00;"77,17"
17-09-2025;76.40;0.00;"76,4"
18-09-2025;77.18;0.00;"77,18"
19-09-2025;76.64;0.00;"76,64"
22-09-2025;76.02;0.00;"76,02"
23-09-2025;76.38;0.00;"76,38"
24-09-2025;75.72;0.00;"75,72"
25-09-2025;74.68;0.00;"74,68"
26-09-2025;74.94;0.00;"74,94"
29-09-2025;76.21;0.00;"76,21"
30-09-2025;75.35;0.00;"75,35"
01-10-2025;75.97;0.00;"75,97"
02-10-2025;77.06;0.00;"77,06"
03-10-2025;79.15;0.00;"79,15"
06-10-2025;78.41;0.00;"78,41"
07-10-2025;77.95;0.00;"77,95"
08-10-2025;78.75;0.00;"78,75"
09-10-2025;78.88;0.00;"78,88"
10-10-2025;78.95;0.00;"78,95"
13-10-2025;77.49;0.00;"77,49"
14-10-2025;76.42;0.00;"76,42"
15-10-2025;77.58;0.00;"77,58"
16-10-2025;79.20;0.00;"79,2"
17-10-2025;79.17;0.00;"79,17"
20-10-2025;79.52;0.00;"79,52"
21-10-2025;79.10;0.00;"79,1"
22-10-2025;78.16;0.00;"78,16"
23-10-2025;78.08;0.00;"78,08"
24-10-2025;78.11;0.00;"78,11"
27-10-2025;77.52;0.00;"77,52"
28-10-2025;78.08;0.00;"78,08"
29-10-2025;78.56;0.00;"78,56"
30-10-2025;78.37;0.00;"78,37"
31-10-2025;78.31;0.00;"78,31"
03-11-2025;80.97;0.00;"80,97"
04-11-2025;82.05;0.00;"82,05"
05-11-2025;81.20;0.00;"81,2"
06-11-2025;79.96;0.00;"79,96"
07-11-2025;79.37;0.00;"79,37"
10-11-2025;79.71;0.00;"79,71"
11-11-2025;80.47;0.00;"80,47"
12-11-2025;81.70;0.00;"81,7"
13-11-2025;81.17;0.00;"81,17"
14-11-2025;80.77;0.00;"80,77"
17-11-2025;79.70;0.00;"79,7"
18-11-2025;80.94;0.00;"80,94"
19-11-2025;80.52;0.00;"80,52"
20-11-2025;80.85;0.00;"80,85"
21-11-2025;80.30;0.00;"80,3"
24-11-2025;80.50;0.00;"80,5"
25-11-2025;81.77;0.00;"81,77"
26-11-2025;81.45;0.00;"81,45"
27-11-2025;82.12;0.00;"82,12"
28-11-2025;83.06;0.00;"83,06"
01-12-2025;82.57;0.00;"82,57"
02-12-2025;81.54;0.00;"81,54"
03-12-2025;81.55;0.00;"81,55"
04-12-2025;82.37;0.00;"82,37"
05-12-2025;81.77;0.00;"81,77"
08-12-2025;81.90;0.00;"81,9"
09-12-2025;82.64;0.00;"82,64"
10-12-2025;82.76;0.00;"82,76"
11-12-2025;83.28;0.00;"83,28"
12-12-2025;83.52;0.00;"83,52"
15-12-2025;84.95;0.00;"84,95"
16-12-2025;85.31;0.00;"85,31"
17-12-2025;84.43;0.00;"84,43"
18-12-2025;83.98;0.00;"83,98"
19-12-2025;84.82;0.00;"84,82"
22-12-2025;85.54;0.00;"85,54"
