fecha;hora;tecnologia;value
2022-01-09;6;HI;48.5
2022-01-09;7;RE;74.29
2022-01-09;8;TER;89.78
2022-01-09;9;HI;104.79
2022-01-09;10;RE;140.0
2022-01-09;11;RE;140.0
2022-01-09;12;HI;120.0
2022-01-09;13;RE;69.77
2022-01-09;14;RE;69.77
2022-01-09;15;HI;57.96
2022-01-09;16;RE;14.0
2022-01-09;17;TER;92.52
2022-01-09;18;TER;159.9
2022-01-09;19;HI;207.9
2022-01-09;20;HI;240.0
2022-01-09;21;HI;230.82
2022-01-09;22;HI;214.02
2022-01-09;23;HI;215.88
2022-01-09;24;RE;191.64
2022-01-10;1;RE;196.23
2022-01-10;2;BG;165.0
2022-01-10;3;TER;158.7
2022-01-10;4;TER;159.3
2022-01-10;5;RE;160.1
2022-01-10;6;HI;173.01
2022-01-10;7;RE;200.1
2022-01-10;8;HI;228.46
2022-01-10;9;TCC;234.74
2022-01-10;10;HI;240.0
2022-01-10;11;RE;238.76
2022-01-10;12;HI;228.38
2022-01-10;13;TCC;222.53
2022-01-10;14;HI;216.01
2022-01-10;15;TCC;206.01
2022-01-10;16;RE;200.99
2022-01-10;17;BG;223.0
2022-01-10;18;HI;256.01
2022-01-10;19;TCC;286.4
2022-01-10;20;HI;294.98
2022-01-10;21;HI;267.45
2022-01-10;22;RE;242.23
2022-01-10;23;TCC;217.03
2022-01-10;24;TCC;198.93
2022-01-11;1;HI;210.34
2022-01-11;2;TCC;202.42
2022-01-11;3;HI;197.6
2022-01-11;4;HI;193.0
2022-01-11;5;HI;194.9
2022-01-11;6;TCC;204.45
2022-01-11;7;HI;219.32
2022-01-11;8;HI;228.38
2022-01-11;9;HI;249.97
2022-01-11;10;HI;249.97
2022-01-11;11;HI;242.47
2022-01-11;12;TCC;212.2
2022-01-11;13;TCC;207.1
2022-01-11;14;TCC;207.0
2022-01-11;15;TCC;206.8
2022-01-11;16;TCC;206.8
2022-01-11;17;TCC;212.0
2022-01-11;18;HI;242.47
2022-01-11;19;HI;260.0
2022-01-11;20;HI;261.97
2022-01-11;21;HI;262.66
2022-01-11;22;HI;245.0
2022-01-11;23;TCC;227.47
2022-01-11;24;TCC;211.63
2022-01-12;1;TCC;196.65
2022-01-12;2;TCC;187.1
2022-01-12;3;TCC;184.27
2022-01-12;4;TER;179.58
2022-01-12;5;TER;178.33
2022-01-12;6;TCC;190.14
2022-01-12;7;TCC;185.22
2022-01-12;8;TCC;200.22
2022-01-12;9;TCC;217.15
2022-01-12;10;RE;205.41
2022-01-12;11;TCC;199.7
2022-01-12;12;HI;196.66
2022-01-12;13;HI;196.95
2022-01-12;14;HI;197.42
2022-01-12;15;TCC;197.42
2022-01-12;16;TCC;199.6
2022-01-12;17;RE;200.2
2022-01-12;18;HI;227.49
2022-01-12;19;HI;255.0
2022-01-12;20;HI;261.38
2022-01-12;21;HI;253.1
2022-01-12;22;TCC;222.79
2022-01-12;23;HI;213.64
2022-01-12;24;RE;200.22
2022-01-13;1;RE;190.0
2022-01-13;2;HI;188.72
2022-01-13;3;HI;187.87
2022-01-13;4;TCC;182.88
2022-01-13;5;TCC;186.65
2022-01-13;6;HI;187.42
2022-01-13;7;TCC;192.93
2022-01-13;8;HI;220.14
2022-01-13;9;HI;226.75
2022-01-13;10;HI;226.75
2022-01-13;11;HI;220.25
2022-01-13;12;HI;216.35
2022-01-13;13;HI;213.93
2022-01-13;14;HI;213.93
2022-01-13;15;HI;213.75
2022-01-13;16;TCC;213.89
2022-01-13;17;HI;220.14
2022-01-13;18;TCC;229.57
2022-01-13;19;HI;259.45
2022-01-13;20;HI;262.95
2022-01-13;21;HI;252.46
2022-01-13;22;TCC;230.1
2022-01-13;23;HI;217.65
2022-01-13;24;BG;207.99
2022-01-14;1;RE;205.0
2022-01-14;2;TCC;199.96
2022-01-14;3;RE;196.42
2022-01-14;4;TCC;192.77
2022-01-14;5;TCC;192.43
2022-01-14;6;RE;197.6
2022-01-14;7;HI;206.26
2022-01-14;8;HI;205.2
2022-01-14;9;TCC;209.07
2022-01-14;10;HI;207.8
2022-01-14;11;TCC;199.99
2022-01-14;12;TCC;182.52
2022-01-14;13;HI;180.3
2022-01-14;14;HI;180.66
2022-01-14;15;HI;180.3
2022-01-14;16;TCC;182.52
2022-01-14;17;TCC;200.34
2022-01-14;18;TCC;209.07
2022-01-14;19;HI;225.61
2022-01-14;20;BG;233.65
2022-01-14;21;BG;235.01
2022-01-14;22;HI;225.61
2022-01-14;23;HI;216.68
2022-01-14;24;HI;205.96
2022-01-15;1;TCC;222.01
2022-01-15;2;HI;214.92
2022-01-15;3;HI;209.61
2022-01-15;4;TCC;196.7
2022-01-15;5;TCC;193.04
2022-01-15;6;RE;195.05
2022-01-15;7;RE;200.9
2022-01-15;8;HI;217.21
